,AlibabaP,AmazonP,EbayP,RakutenP,SuningP,WayfairP,ZalandoP,JDcomP,day,month,year
1,0.021328528898413503,0.004646478951023914,-0.0026845894960481217,0.027605266091888916,0.0008478647902775571,0.0362864258967184,-0.038101176029765996,0.0011612266876462002,4.0,1.0,2017.0
2,0.04176289388691985,0.03026961847894493,0.008365489456815539,0.014742281737203431,-0.003395693301497851,0.018737765296195374,0.02325209069369285,0.01725830754121323,5.0,1.0,2017.0
3,-0.005099384203310336,0.019715972173219187,0.03406811076486503,0.02600050172514664,-0.015424369948294362,0.005098709624910811,0.01578657958289845,-0.0011413074553368496,6.0,1.0,2017.0
4,0.008801308073433389,0.00116769948584434,-0.00970890190217875,0.006631952303751207,-0.0017286173716103287,0.018300417899248796,0.0014715005586726105,-0.00038073847876093697,9.0,1.0,2017.0
5,0.02120515021676339,-0.0012808228830120095,-0.0163935780424092,-0.01618312328809422,0.017152987319904646,0.07564616720249996,-0.00442085247541638,0.02407937944633032,10.0,1.0,2017.0
6,0.001961919138657029,0.003912477187876129,0.005275260186887017,0.017126964792800636,-0.005115038181032378,-0.004640452882583146,0.024011181427635028,-0.004844361008076972,11.0,1.0,2017.0
7,-0.01078624830409847,0.018132006411281664,-0.001975001798315377,-0.025801717986474217,-0.0215990844857058,-0.011819862252422698,0.013281419360370311,-0.005994791583586903,12.0,1.0,2017.0
8,0.003850709883069146,0.004292406704309309,-0.0019789448224988558,0.0,-0.032848166016760535,-0.017491725983673632,0.028059537604952108,0.00860615653183578,13.0,1.0,2017.0
9,-0.0015592705482649293,-0.0091218809643231,0.0,-0.015610073071078574,-0.014545595810376002,0.0219405717902032,-0.06427868151415955,0.013691296746071653,17.0,1.0,2017.0
10,-0.0012492506114176274,-0.002770197136734535,0.0032959077655924595,-0.029942356615078453,-0.002751094226658996,-0.007922769938812442,-0.007539050349131221,-0.001839230044637649,18.0,1.0,2017.0
11,0.0017692464600477713,0.0019300478372730006,0.010800261865876421,0.03288786684483521,-0.007373342073077833,-0.002738047793186617,-0.005420094643252591,0.021490482737029908,19.0,1.0,2017.0
12,-0.0011444625115267055,-0.0008779686102837986,-0.0026075185986749482,-0.014815085785140474,0.009208214083740573,0.0007475520374597632,-0.025039140704370674,-0.0054200084372785055,20.0,1.0,2017.0
13,0.024169490140811763,0.01174526004468724,-0.012149193666292208,0.0,0.005484501574496506,-0.006747520037107055,-0.004188111605611784,0.02079667632795394,23.0,1.0,2017.0
14,0.030226439830735342,0.005559929257848064,-0.00929296936282397,0.004962789342128876,-0.0036529901538180296,0.029402957799604168,-0.004065359041319694,0.012694119421987643,24.0,1.0,2017.0
15,0.02559873125457181,0.016974849000141227,0.007970643184571557,-0.01697494579013256,0.005474399458864348,0.01186026232415672,0.013672032162220678,0.001750375262522347,25.0,1.0,2017.0
